,rn,iteration
551,"('R00505', 'forward')",1
552,"('R00304', 'reverse')",1
553,"('R05378', 'reverse')",1
554,"('R00443', 'forward')",1
555,"('R00439', 'reverse')",1
556,"('R10305', 'reverse')",1
557,"('R01530', 'forward')",1
558,"('R05605', 'reverse')",1
559,"('R00018', 'forward')",1
560,"('R00803', 'reverse')",1
561,"('R03237', 'forward')",1
562,"('R00877', 'forward')",1
563,"('R03537', 'reverse')",1
564,"('R01514', 'reverse')",1
565,"('R00178', 'reverse')",1
566,"('R01523', 'forward')",1
567,"('R02120', 'reverse')",1
568,"('R10836', 'forward')",1
569,"('R00307', 'forward')",1
570,"('R07307', 'reverse')",1
571,"('R01762', 'reverse')",1
572,"('R05608', 'forward')",1
573,"('R00013', 'reverse')",1
574,"('R00440', 'forward')",1
575,"('R02297', 'reverse')",1
576,"('R01056', 'forward')",1
577,"('R09668', 'forward')",1
578,"('R01329', 'reverse')",1
579,"('R00123', 'reverse')",1
580,"('R07650', 'reverse')",1
581,"('R00524', 'reverse')",1
582,"('R07629', 'forward')",1
583,"('R02705', 'reverse')",1
584,"('R00010', 'forward')",1
585,"('R00513', 'reverse')",1
586,"('R01012', 'forward')",1
587,"('R02728', 'forward')",1
588,"('R07265', 'reverse')",1
589,"('R00756', 'forward')",1
590,"('R00367', 'forward')",1
591,"('R00970', 'forward')",1
592,"('R05071', 'reverse')",1
593,"('R00582', 'forward')",1
594,"('R01919', 'forward')",1
595,"('R00489', 'forward')",1
596,"('R00885', 'forward')",1
597,"('R02926', 'forward')",1
598,"('R02731', 'reverse')",1
599,"('R00836', 'forward')",1
600,"('R00955', 'forward')",1
601,"('R01138', 'reverse')",1
602,"('R00350', 'forward')",1
603,"('R01131', 'forward')",1
604,"('R01234', 'reverse')",1
605,"('R03929', 'reverse')",1
606,"('R00960', 'forward')",1
607,"('R01289', 'forward')",1
608,"('R01784', 'reverse')",1
609,"('R00411', 'forward')",1
610,"('R08195', 'reverse')",1
611,"('R00451', 'reverse')",1
612,"('R01083', 'forward')",1
613,"('R00911', 'reverse')",1
614,"('R00469', 'reverse')",1
