rxn	iter
('R02278', 'forward')	1
('R08714', 'reverse')	1
('R06789', 'forward')	1
('R00579', 'forward')	1
('R09946', 'forward')	1
('R03187', 'forward')	1
('R03894', 'forward')	1
('R08635', 'forward')	1
('R01544', 'reverse')	1
('R00192', 'reverse')	1
('R00085', 'forward')	1
('R02773', 'forward')	1
('R03258', 'forward')	1
('R04208', 'forward')	1
('R00502', 'forward')	1
('R02730', 'reverse')	1
('R10062', 'reverse')	1
('R08503', 'forward')	1
('R10179', 'reverse')	1
('R05717', 'reverse')	1
('R03351', 'forward')	1
('R00576', 'reverse')	1
('R10673', 'forward')	1
('R04343', 'reverse')	1
('R00431', 'forward')	1
('R01504', 'reverse')	1
('R00911', 'forward')	1
('R10153', 'reverse')	1
('R00960', 'forward')	1
('R09772', 'reverse')	1
('R00782', 'reverse')	1
('R01511', 'forward')	1
('R04420', 'reverse')	1
('R00426', 'forward')	1
('R10687', 'forward')	1
('R07059', 'forward')	1
('R03053', 'forward')	1
('R00765', 'reverse')	1
('R00367', 'reverse')	1
('R03852', 'forward')	1
('R01466', 'reverse')	1
('R07341', 'forward')	1
('R05467', 'forward')	1
('R01290', 'reverse')	1
('R02781', 'forward')	1
('R04478', 'reverse')	1
('R00325', 'forward')	1
('R10147', 'reverse')	1
('R00589', 'reverse')	1
('R01577', 'reverse')	1
('R00024', 'reverse')	1
('R02145', 'forward')	1
('R00474', 'forward')	1
('R02429', 'reverse')	1
('R03115', 'reverse')	1
('R08601', 'forward')	1
('R08195', 'forward')	1
('R05774', 'forward')	1
('R01570', 'forward')	1
('R04638', 'forward')	1
('R09801', 'reverse')	1
('R03503', 'forward')	1
('R03372', 'reverse')	1
('R00444', 'reverse')	1
('R01901', 'reverse')	1
('R10829', 'forward')	1
('R01518', 'forward')	1
('R01844', 'reverse')	1
('R00086', 'reverse')	1
('R00750', 'forward')	1
('R01476', 'forward')	1
('R01736', 'reverse')	1
('R00380', 'forward')	1
('R00131', 'reverse')	1
('R01571', 'forward')	1
('R00514', 'forward')	1
('R02112', 'forward')	1
('R01882', 'forward')	1
('R01444', 'forward')	1
('R10064', 'reverse')	1
('R10705', 'forward')	1
('R07274', 'reverse')	1
('R08968', 'reverse')	1
('R10832', 'forward')	1
('R00291', 'forward')	1
('R05608', 'reverse')	1
('R01021', 'forward')	1
('R09650', 'forward')	1
('R00180', 'reverse')	1
('R00028', 'reverse')	1
('R09666', 'forward')	1
('R10773', 'forward')	1
('R02603', 'reverse')	1
('R00910', 'reverse')	1
('R00414', 'reverse')	1
('R01667', 'reverse')	1
('R01086', 'forward')	1
('R00442', 'reverse')	1
('R00567', 'forward')	1
('R01157', 'reverse')	1
('R01055', 'forward')	1
('R02419', 'reverse')	1
('R01647', 'reverse')	1
('R00307', 'reverse')	1
('R00341', 'reverse')	1
('R10061', 'forward')	1
('R00510', 'reverse')	1
('R00660', 'forward')	1
('R01287', 'forward')	1
('R00566', 'reverse')	1
('R04174', 'reverse')	1
('R08633', 'reverse')	1
('R01843', 'reverse')	1
('R01395', 'forward')	1
('R10345', 'reverse')	1
('R01876', 'forward')	1
('R04475', 'forward')	1
('R00438', 'forward')	1
('R00512', 'forward')	1
('R05326', 'forward')	1
('R01432', 'reverse')	1
('R09881', 'forward')	1
('R03524', 'reverse')	1
('R00974', 'reverse')	1
('R01069', 'reverse')	1
('R01440', 'reverse')	1
('R01482', 'reverse')	1
('R07127', 'reverse')	1
('R02187', 'forward')	1
('R01611', 'forward')	1
('R01827', 'forward')	1
('R01918', 'reverse')	1
('R02734', 'forward')	1
('R01811', 'forward')	1
('R01627', 'reverse')	1
('R01416', 'reverse')	1
('R01884', 'forward')	1
('R04441', 'reverse')	1
('R01665', 'forward')	1
('R00578', 'forward')	1
('R04320', 'reverse')	1
('R03275', 'forward')	1
('R03350', 'forward')	1
('R02749', 'reverse')	1
('R03540', 'reverse')	1
('R01784', 'forward')	1
