ECNumber	PfamDomain	ConfidenceScore	Type	InInterPro
2.3.3.13	PF08502	0.9046237778	GOLD	Yes
3.5.99.6	PF01182	0.9037237222	GOLD	Yes
2.7.1.21	PF00265	0.9029974444	GOLD	Yes
2.1.1.245	PF04060	0.9022591667	GOLD	No
1.8.3.2	PF04777	0.9017386111	GOLD	Yes
3.4.23.43	PF06750	0.9007904444	GOLD	Yes
5.4.99.5	PF01817	0.9006515	GOLD	Yes
3.1.27.1	PF00445	0.9005463889	GOLD	No
1.1.1.34	PF00368	0.8985994444	GOLD	Yes
1.1.1.22	PF00984	0.8970633333	GOLD	No
6.5.1.1	PF04675	0.8964398333	GOLD	Yes
3.1.3.5	PF01975	0.8962341111	GOLD	Yes
2.8.1.9	PF03473	0.8955910556	GOLD	No
4.2.1.8	PF03786	0.8955408333	GOLD	Yes
2.7.2.1	PF00871	0.8954121111	GOLD	Yes
1.1.1.22	PF03721	0.8950831111	GOLD	No
3.1.3.89	PF13023	0.8949761111	GOLD	No
3.4.23.43	PF01478	0.8938035556	GOLD	No
2.5.1.18	PF00043	0.8906765	GOLD	No
5.1.3.3	PF01263	0.8903843889	GOLD	No
5.4.2.10	PF02880	0.8899787222	GOLD	Yes
2.4.1.325	PF07429	0.8888888889	GOLD	Yes
2.1.1.286	PF11968	0.8888888889	GOLD	No
1.17.99.6	PF08331	0.8888888889	GOLD	Yes
1.14.13.39	PF02898	0.8887531111	GOLD	No
3.1.3.1	PF00245	0.8887068333	GOLD	Yes
2.1.1.17	PF04191	0.8883483333	GOLD	Yes
1.8.1.8	PF11412	0.8879906111	GOLD	Yes
3.2.1.35	PF01630	0.8875594444	GOLD	Yes
1.1.1.94	PF07479	0.8866591111	GOLD	Yes
2.8.1.9	PF03476	0.8863398889	GOLD	No
6.1.1.7	PF02272	0.8860706667	GOLD	Yes
1.10.3.2	PF07732	0.8851378333	GOLD	No
5.4.2.10	PF02879	0.8850057222	GOLD	Yes
2.3.1.193	PF08351	0.8849037222	GOLD	No
5.4.2.10	PF02878	0.8847017778	GOLD	Yes
1.1.2.7	PF02315	0.8844714444	GOLD	Yes
1.3.1.89	PF01207	0.8843158889	GOLD	No
5.4.2.10	PF00408	0.8841257222	GOLD	Yes
3.4.11.19	PF07930	0.8840972222	GOLD	Yes
2.5.1.15	PF00809	0.8838320556	GOLD	No
3.1.4.11	PF00388	0.8831468333	GOLD	No
2.1.1.163	PF01209	0.8830306111	GOLD	Yes
1.14.13.81	PF02915	0.8819932222	GOLD	No
5.3.1.26	PF02502	0.8819463889	GOLD	Yes
6.1.1.9	PF10458	0.8802464444	GOLD	Yes
5.4.99.62	PF05025	0.8794657222	GOLD	No
3.5.1.105	PF04794	0.8788783333	GOLD	No
1.1.1.38	PF00390	0.8784004444	GOLD	No
1.1.1.38	PF03949	0.8783847222	GOLD	No
3.5.1.102	PF02633	0.8768920722	SILVER	Yes
5.4.2.11	PF00300	0.8758934444	GOLD	No
3.5.4.25	PF00925	0.8757053889	GOLD	Yes
4.3.3.7	PF00701	0.8752198333	GOLD	No
3.1.2.6	PF00753	0.8745941111	GOLD	No
2.4.2.4	PF07831	0.8744287778	GOLD	No
3.5.4.5	PF08211	0.8743315	GOLD	Yes
3.1.3.12	PF02358	0.8742692778	GOLD	No
5.4.2.12	PF06415	0.8734692222	GOLD	Yes
2.3.2.13	PF01841	0.8726701111	GOLD	No
1.10.3.2	PF00394	0.8726100556	GOLD	No
