,ec,cofactor,rn
316,1.14.12.8,fes,R01636
317,1.14.12.9,fe,R03306
318,1.14.12.9,fes,R03306
319,1.14.13.111,fes_2Fe_2S,R09513
320,1.14.13.12,fe,R01295
321,1.14.13.122,fe,R08203
322,1.14.13.122,fe,R08204
323,1.14.13.122,fe,R10080
324,1.14.13.126,fes_2Fe_2S,R09515
325,1.14.13.126,fes_2Fe_2S,R09516
326,1.14.13.128,fe,R07965
327,1.14.13.128,fe,R07966
328,1.14.13.142,fe,R09860
329,1.14.13.142,fes,R09860
330,1.14.13.151,fes_2Fe_2S,R04366
331,1.14.13.151,fes_2Fe_2S,R09922
332,1.14.13.151,fes_2Fe_2S,R09923
333,1.14.13.151,fes_2Fe_2S,R09924
334,1.14.13.151,fes_2Fe_2S,R09925
335,1.14.13.156,fe,R08784
336,1.14.13.162,fe,R04102
337,1.14.13.165,fes_2Fe_2S,R00111
338,1.14.13.165,fes_2Fe_2S,R00557
339,1.14.13.165,fes_2Fe_2S,R00558
340,1.14.13.165,fes_2Fe_2S,R10106
341,1.14.13.165,fes_2Fe_2S,R10107
342,1.14.13.165,fes_2Fe_2S,R10108
343,1.14.13.165,fe,R00111
344,1.14.13.165,fe,R00557
345,1.14.13.165,fe,R00558
346,1.14.13.165,fe,R10106
347,1.14.13.165,fe,R10107
348,1.14.13.165,fe,R10108
349,1.14.13.172,fe,R07709
350,1.14.13.172,fe,R07710
351,1.14.13.172,fes,R07709
352,1.14.13.172,fes,R07710
353,1.14.13.178,fe,R07955
354,1.14.13.178,fe,R07956
355,1.14.13.178,fe,R07957
356,1.14.13.178,fe,R07958
357,1.14.13.178,fe,R07969
358,1.14.13.178,fe,R07970
359,1.14.13.178,fe,R07973
360,1.14.13.178,fe,R07974
361,1.14.13.179,fe,R07939
362,1.14.13.179,fe,R07954
363,1.14.13.179,fe,R07961
364,1.14.13.179,fe,R07962
365,1.14.13.179,fe,R07967
366,1.14.13.179,fe,R07968
367,1.14.13.179,fe,R07975
368,1.14.13.179,fe,R07976
369,1.14.13.35,fe,R00980
370,1.14.13.39,fe,R00111
371,1.14.13.39,fe,R00557
372,1.14.13.39,fe,R00558
373,1.14.13.61,fe,R05158
374,1.14.13.83,fe,R05217
375,1.14.13.83,fes,R05217
376,1.14.15.13,fe,R10322
377,1.14.15.7,fes_2Fe_2S,R05739
378,1.14.15.7,fes_2Fe_2S,R07409
379,1.14.15.7,fe,R05739
380,1.14.15.7,fe,R07409
381,1.14.16.1,fe,R01795
382,1.14.16.1,fe,R07211
383,1.14.16.2,fe,R01815
384,1.14.16.2,fe,R07212
385,1.14.16.3,fe,R01816
386,1.14.16.4,fe,R01814
387,1.14.16.4,fe,R07213
388,1.14.16.5,fe,R04044
389,1.14.16.6,fe,R03794
390,1.14.17.4,fe,R07214
391,1.14.18.2,fes_2Fe_2S,R01115
392,1.14.18.2,fes_2Fe_2S,R01803
393,1.14.18.2,fe,R01115
394,1.14.18.2,fe,R01803
395,1.14.19.1,fe,R02222
396,1.14.19.3,fe,R03814
397,1.14.19.3,fe,R07063
398,1.14.19.3,fe,R07933
399,1.14.20.3,fe,R10415
400,1.14.99.15,fe,R01306
401,1.14.99.15,fes,R01306
402,1.14.99.24,fe,R04392
403,1.14.99.24,fes,R04392
404,1.14.99.3,fe,R00311
405,1.14.99.3,fe,R03683
406,1.14.99.33,fe,R05740
407,1.14.99.36,fe,R00032
408,1.14.99.36,fe,R10083
409,1.14.99.36,fe,R10084
410,1.14.99.36,fe,R10085
411,1.14.99.38,fe,R07218
412,1.14.99.39,fe,R00148
413,1.14.99.39,fe,R09156
414,1.14.99.39,fe,R09518
415,1.14.99.39,fe,R09519
416,1.14.99.48,fe,R10468
417,1.14.99.48,fe,R10510
418,1.15.1.1,fe,R00275
419,1.15.1.1,fe,R02670
420,1.15.1.1,mn,R00275
421,1.15.1.1,mn,R02670
422,1.15.1.2,fe,R05743
423,1.16.1.7,fe,R00092
424,1.16.1.9,fe,R09541
425,1.16.3.1,fe,R00078
426,1.17.1.2,fes_3Fe_4S,R05884
427,1.17.1.2,fes_3Fe_4S,R07219
428,1.17.1.2,fes_3Fe_4S,R08209
429,1.17.1.2,fes_3Fe_4S,R08210
430,1.17.1.2,fes_4Fe_4S,R05884
431,1.17.1.2,fes_4Fe_4S,R07219
432,1.17.1.2,fes_4Fe_4S,R08209
433,1.17.1.2,fes_4Fe_4S,R08210
434,1.17.1.2,fe,R05884
435,1.17.1.2,fe,R07219
436,1.17.1.2,fe,R08209
437,1.17.1.2,fe,R08210
438,1.17.1.2,fes,R05884
439,1.17.1.2,fes,R07219
440,1.17.1.2,fes,R08209
441,1.17.1.2,fes,R08210
442,1.17.1.4,fes_2Fe_2S,R01768
443,1.17.1.4,fes_2Fe_2S,R01769
444,1.17.1.4,fes_2Fe_2S,R02103
445,1.17.1.4,fes_2Fe_2S,R02107
446,1.17.1.4,fes_2Fe_2S,R07942
447,1.17.1.4,fes_2Fe_2S,R07977
448,1.17.1.4,fes_2Fe_2S,R07978
449,1.17.1.4,fes_2Fe_2S,R07979
450,1.17.1.4,fes_2Fe_2S,R08235
451,1.17.1.5,fe,R01720
452,1.17.2.1,fes_2Fe_2S,R09473
453,1.17.3.2,fes_2Fe_2S,R00069
454,1.17.3.2,fes_2Fe_2S,R01768
455,1.17.3.2,fes_2Fe_2S,R01769
456,1.17.3.2,fes_2Fe_2S,R02103
457,1.17.3.2,fes_2Fe_2S,R02107
458,1.17.3.2,fes_2Fe_2S,R07942
459,1.17.3.2,fes_2Fe_2S,R07977
