,rn
2076,R01655
2077,R01657
2078,R01658
2079,R01658
2080,R01658
2081,R01659
2082,R01660
2083,R01662
2084,R01662
2085,R01662
2086,R01663
2087,R01664
2088,R01664
2089,R01664
2090,R01664
2091,R01664
2095,R01666
2096,R01666
2097,R01667
2098,R01668
2099,R01668
2101,R01670
2102,R01676
2108,R01680
2109,R01681
2110,R01682
2111,R01682
2120,R01689
2121,R01690
2122,R01694
2123,R01695
2124,R01696
2125,R01697
2126,R01698
2131,R01703
2132,R01704
2133,R01705
2134,R01706
2135,R01706
2136,R01706
2137,R01707
2138,R01708
2139,R01709
2140,R01709
2142,R01711
2146,R01714
2147,R01715
2148,R01715
2149,R01715
2150,R01715
2152,R01716
2154,R01717
2156,R01717
2159,R01720
2160,R01721
2161,R01722
2162,R01724
2163,R01728
2164,R01728
2165,R01728
2166,R01730
2172,R01735
2173,R01736
2174,R01737
2175,R01738
2176,R01739
2177,R01740
2178,R01741
2179,R01742
2180,R01745
2181,R01747
2182,R01748
2183,R01749
2184,R01750
2185,R01751
2186,R01751
2187,R01751
2188,R01752
2189,R01752
2190,R01752
2191,R01752
2192,R01754
2193,R01757
2194,R01757
2195,R01758
2196,R01759
2198,R01761
2200,R01763
2201,R01764
2202,R01766
2203,R01767
2204,R01768
2205,R01768
2206,R01769
2207,R01769
2211,R01771
2212,R01771
2213,R01773
2215,R01775
2217,R01776
2218,R01777
2219,R01778
2220,R01778
2221,R01778
2222,R01779
2224,R01781
2225,R01782
2226,R01784
2227,R01785
2228,R01786
2229,R01786
2230,R01787
2231,R01788
2240,R01795
2241,R01797
2242,R01799
2243,R01800
2244,R01801
2245,R01802
2246,R01803
2247,R01804
2248,R01805
2249,R01806
2250,R01807
2251,R01808
2253,R01811
2255,R01813
2256,R01814
2257,R01815
2258,R01816
2259,R01817
2260,R01818
2261,R01818
2262,R01818
2263,R01819
2264,R01819
2265,R01819
2266,R01821
2267,R01823
2268,R01824
2269,R01825
2270,R01826
2271,R01826
2273,R01827
2274,R01829
2276,R01833
2277,R01834
2278,R01835
2279,R01836
2280,R01836
2281,R01836
2282,R01836
2283,R01837
2284,R01837
2285,R01838
2286,R01838
2287,R01838
2288,R01838
2291,R01841
2294,R01843
2295,R01844
2296,R01845
2297,R01845
2298,R01850
2302,R01855
2303,R01855
2307,R01858
2308,R01859
2309,R01859
2310,R01859
2311,R01860
2312,R01861
2313,R01862
2314,R01863
2315,R01863
2316,R01866
2318,R01868
2319,R01869
2320,R01870
2321,R01870
2322,R01872
2323,R01872
2324,R01873
2325,R01874
2326,R01875
2327,R01876
2328,R01876
2329,R01877
2330,R01877
2331,R01877
2332,R01878
2333,R01879
2334,R01880
2337,R01883
2338,R01884
2339,R01885
2342,R01888
2343,R01889
2344,R01890
2345,R01891
2347,R01895
2348,R01896
2349,R01896
2350,R01898
2351,R01899
2352,R01900
2353,R01900
2354,R01901
2355,R01902
2356,R01903
2357,R01904
2358,R01905
2359,R01906
2360,R01908
2361,R01909
2362,R01910
2363,R01911
2364,R01912
2365,R01914
2366,R01914
2367,R01914
2368,R01915
2369,R01917
2372,R01918
2375,R01919
2376,R01919
2377,R01920
2378,R01921
2379,R01922
2380,R01923
2382,R01926
2383,R01928
2384,R01929
2386,R01931
2387,R01931
2388,R01932
2390,R01933
2391,R01933
2392,R01934
2393,R01934
2394,R01936
2395,R01936
2402,R01941
2403,R01942
2405,R01944
2406,R01945
2407,R01945
2408,R01946
2409,R01951
2410,R01952
2411,R01954
2415,R01956
2417,R01959
2418,R01960
2419,R01961
2420,R01961
2422,R01964
2423,R01965
2425,R01967
2426,R01968
2427,R01968
2428,R01968
2429,R01968
2430,R01968
2431,R01969
2432,R01969
2433,R01971
2434,R01972
2435,R01973
2436,R01974
2437,R01974
2438,R01975
2439,R01975
2440,R01975
2442,R01975
2443,R01976
2444,R01977
2446,R01980
2449,R01983
2451,R01986
2452,R01986
2453,R01986
2454,R01986
2455,R01987
2457,R01990
2459,R01992
2460,R01992
2462,R01993
2464,R01994
2465,R01995
2466,R01996
2467,R01997
2468,R01998
2469,R01999
2470,R01999
2471,R02000
2472,R02000
2473,R02000
2474,R02002
2475,R02003
2476,R02003
2477,R02003
2478,R02004
2479,R02006
2480,R02007
2481,R02009
2482,R02010
2483,R02013
2484,R02014
2485,R02016
2486,R02017
2487,R02018
2488,R02019
2489,R02020
2491,R02022
2492,R02023
2493,R02024
2496,R02027
2497,R02029
2498,R02029
2499,R02029
2500,R02029
2501,R02032
2502,R02034
2503,R02035
2505,R02036
2506,R02037
2507,R02038
2508,R02039
2509,R02040
2510,R02041
2512,R02047
2514,R02051
2515,R02052
2516,R02053
2524,R02055
2525,R02056
2526,R02056
2527,R02057
2528,R02057
2529,R02058
2530,R02059
2531,R02060
2532,R02061
2533,R02061
2534,R02061
2535,R02063
2536,R02064
2537,R02065
2538,R02065
2539,R02065
2540,R02068
2541,R02071
2542,R02073
2543,R02075
2544,R02076
2546,R02078
2547,R02078
2548,R02080
2549,R02080
2550,R02081
2551,R02082
2552,R02083
2554,R02085
2555,R02087
2556,R02087
2557,R02088
2558,R02088
2559,R02088
2560,R02088
2561,R02088
2562,R02089
2563,R02089
2566,R02091
2567,R02092
2572,R02095
2573,R02095
2574,R02096
2575,R02097
2578,R02099
2579,R02100
2580,R02100
2581,R02100
2583,R02101
2584,R02102
2585,R02102
2586,R02102
2587,R02102
2588,R02102
2589,R02103
2590,R02103
2591,R02106
2592,R02106
2593,R02107
2594,R02107
2596,R02108
2597,R02109
2599,R02110
2600,R02111
2601,R02111
2603,R02113
2604,R02114
2606,R02118
2607,R02119
2608,R02120
2609,R02120
2610,R02121
2611,R02122
2612,R02123
2613,R02124
2614,R02124
2615,R02124
2616,R02124
2617,R02124
2618,R02125
2619,R02130
2621,R02131
2622,R02132
2624,R02134
2625,R02136
2627,R02138
2628,R02139
2629,R02142
2630,R02142
2631,R02142
2633,R02144
2634,R02145
2635,R02147
2636,R02147
2637,R02148
2638,R02148
2639,R02148
2641,R02155
2642,R02156
2643,R02157
2644,R02158
2645,R02159
2646,R02160
2647,R02161
2648,R02163
2649,R02163
2650,R02163
2651,R02164
2652,R02164
2653,R02165
2654,R02166
2655,R02167
2656,R02168
2657,R02170
2662,R02174
2663,R02174
2664,R02175
2665,R02175
2666,R02177
2667,R02178
2668,R02179
2669,R02180
2670,R02181
2671,R02182
2672,R02183
2674,R02185
2676,R02187
2678,R02189
2679,R02190
2680,R02191
2681,R02192
2682,R02193
2684,R02195
2685,R02196
2693,R02204
2694,R02204
2695,R02205
2696,R02206
2697,R02207
2698,R02208
2699,R02208
2700,R02209
2701,R02210
2702,R02211
2703,R02211
2704,R02212
2705,R02213
2706,R02214
2707,R02215
2708,R02215
2709,R02216
2710,R02216
2711,R02218
2712,R02218
2713,R02219
2714,R02219
2715,R02220
2717,R02222
2718,R02223
2719,R02224
2720,R02225
2721,R02226
2722,R02227
2723,R02228
2724,R02229
2725,R02229
2726,R02231
2727,R02232
2729,R02234
2731,R02235
2733,R02236
2736,R02238
2737,R02239
2738,R02239
2739,R02240
2740,R02241
2741,R02241
2745,R02242
2746,R02243
2747,R02244
2748,R02245
2749,R02246
2750,R02247
2751,R02248
2752,R02249
2753,R02250
2757,R02251
2758,R02251
2759,R02251
2760,R02251
2761,R02251
2762,R02252
2763,R02253
2764,R02254
2766,R02256
2767,R02257
2768,R02258
2769,R02259
2770,R02260
2771,R02260
2772,R02261
2773,R02262
2774,R02263
2775,R02265
2776,R02266
2777,R02267
2778,R02268
2779,R02269
2781,R02272
2782,R02273
2785,R02276
2786,R02277
2787,R02278
2788,R02279
2789,R02280
2790,R02281
2791,R02282
2792,R02282
2795,R02284
2796,R02285
2797,R02286
2799,R02287
2800,R02288
2801,R02289
2802,R02291
2804,R02294
2805,R02295
2806,R02296
2807,R02297
2808,R02298
2812,R02302
2814,R02305
2815,R02306
2816,R02307
2817,R02311
2821,R02317
2823,R02319
2824,R02319
2825,R02320
2826,R02321
2827,R02322
2828,R02323
2829,R02323
2830,R02324
2831,R02324
2832,R02324
2833,R02325
2836,R02327
2837,R02328
2838,R02329
2839,R02330
2842,R02332
2843,R02333
2846,R02335
2849,R02338
2850,R02340
2851,R02340
2854,R02347
2855,R02349
2856,R02350
2857,R02350
2860,R02352
2861,R02352
2862,R02352
2863,R02352
2864,R02352
2865,R02352
