rxns,metal
R04659,mn
R04725,mn
R04726,mn
R04759,mn
R04761,mn
R04772,mn
R04862,mn
R04951,mn
R04952,mn
R04953,mn
R04954,mn
R04956,mn
R04957,mn
R04959,mn
R04960,mn
R04962,mn
R04963,mn
R04964,mn
R04965,mn
R04967,mn
R04968,mn
R04970,mn
R05102,mn
R05190,mn
R05220,mn
R05245,mn
R05259,mn
R05298,mn
R05300,mn
R05338,mn
R05339,mn
R05341,mn
R05357,mn
R05390,mn
R05391,mn
R05392,mn
R05393,mn
R05399,mn
R05446,mn
R05447,mn
R05449,mn
R05554,mn
R05631,mn
R05633,mn
R05634,mn
R05637,mn
R05659,mn
R05688,mn
R05705,mn
R05706,mn
R05707,mn
R05718,mn
R05758,mn
R05765,mn
R05766,mn
R05794,mn
R05907,mn
R05926,mn
R05927,mn
R05928,mn
R05929,mn
R05962,mn
R05975,mn
R06011,mn
R06013,mn
R06015,mn
R06073,mn
R06120,mn
R06131,mn
R06133,mn
R06138,mn
R06180,mn
R06223,mn
R06421,mn
R06422,mn
R06633,mn
R06635,mn
R06637,mn
R06641,mn
R06643,mn
R06644,mn
R06645,mn
R06701,mn
R06834,mn
R06840,mn
R06870,mn
R06871,mn
R06986,mn
R06989,mn
R07210,mn
R07268,mn
R07270,mn
R07450,mn
R07451,mn
R07455,mn
R07457,mn
R07458,mn
R07612,mn
R07630,mn
R07631,mn
R07632,mn
R07636,mn
R07652,mn
R07827,mn
R07916,mn
R07939,mn
R07946,mn
R07954,mn
R07955,mn
R07956,mn
R07957,mn
R07958,mn
R07961,mn
R07962,mn
R07967,mn
R07968,mn
R07969,mn
R07970,mn
R07973,mn
R07974,mn
R07975,mn
R07976,mn
R08053,mn
R08054,mn
R08055,mn
R08057,mn
R08058,mn
R08066,mn
R08068,mn
R08116,mn
R08119,mn
R08165,mn
R08166,mn
R08195,mn
R08196,mn
R08199,mn
R08200,mn
R08370,mn
R08396,mn
R08528,mn
R08539,mn
R08551,mn
R08599,mn
R08762,mn
R08763,mn
R08785,mn
R08840,mn
R08841,mn
R08845,mn
R08900,mn
R08908,mn
R08947,mn
R08948,mn
R08967,mn
R08991,mn
R08993,mn
R09135,mn
R09215,mn
R09217,mn
R09221,mn
R09229,mn
R09258,mn
R09259,mn
R09269,mn
R09318,mn
R09488,mn
R09517,mn
R09520,mn
R09538,mn
R09550,mn
R09558,mn
R09623,mn
R09636,mn
R09642,mn
R09662,mn
R09663,mn
R09664,mn
R09683,mn
R09684,mn
R09685,mn
R09717,mn
R09718,mn
R09726,mn
R09735,mn
R09748,mn
R09750,mn
R09780,mn
R09793,mn
R09798,mn
R09841,mn
R09879,mn
R09880,mn
R09881,mn
R09882,mn
R09900,mn
R09901,mn
R09902,mn
R09952,mn
R09964,mn
R09969,mn
R09970,mn
R09971,mn
R09974,mn
R10006,mn
R10106,mn
R10107,mn
R10108,mn
R10175,mn
R10177,mn
R10205,mn
R10206,mn
R10235,mn
R10255,mn
R10304,mn
R10337,mn
R10432,mn
R10433,mn
R10441,mn
R10464,mn
R10469,mn
R10508,mn
R10602,mn
R10612,mn
R10613,mn
R10669,mn
R10674,mn
R10682,mn
R10683,mn
R10684,mn
R10700,mn
R10809,mn
R10815,mn
R10817,mn
R10818,mn
R00002,mo
R00067,mo
R00069,mo
R00153,mo
R00519,mo
R00544,mo
R00635,mo
R00638,mo
R00791,mo
R00794,mo
R00796,mo
R00798,mo
R01106,mo
R01709,mo
R01768,mo
R01769,mo
R02103,mo
R02107,mo
R02125,mo
R02165,mo
R02657,mo
R02681,mo
R02802,mo
R03871,mo
R04085,mo
R04782,mo
R04904,mo
R05183,mo
R05185,mo
R05186,mo
R05316,mo
R05496,mo
R05742,mo
R05751,mo
R06954,mo
R07155,mo
R07221,mo
R07222,mo
R07229,mo
R07294,mo
R07514,mo
R07942,mo
R07977,mo
R07978,mo
R07979,mo
R08235,mo
R08349,mo
R08384,mo
R08408,mo
R09394,mo
R09395,mo
R09726,mo
R09735,mo
R09787,mo
R00019,ni
R00086,ni
R00131,ni
R00700,ni
R02789,ni
R02790,ni
R02791,ni
R02965,ni
R03025,ni
R04015,ni
R04455,ni
R04531,ni
R04596,ni
R04659,ni
R05405,ni
R05679,ni
R05680,ni
R05974,ni
R05975,ni
R05978,ni
R06134,ni
R06145,ni
R06153,ni
R06169,ni
R06189,ni
R07157,ni
R07181,ni
R07182,ni
R07363,ni
R07364,ni
R07392,ni
R07393,ni
R07394,ni
R07395,ni
R07798,ni
R08034,ni
R08195,ni
R08196,ni
R08433,ni
R08898,ni
R09079,ni
R09080,ni
R09081,ni
R09082,ni
R09095,ni
R09297,ni
R09317,ni
R09486,ni
R09558,ni
R09681,ni
R09683,ni
R10243,ni
R10390,ni
R10433,ni
R10521,ni
R10531,ni
R10553,ni
R10621,ni
R00134,w
R00326,w
R00544,w
R00638,w
R05380,w
R07158,w
R07159,w
R08571,w
R10531,w
R00002,fes_4Fe_4S
R00067,fes_4Fe_4S
R00093,fes_4Fe_4S
R00114,fes_4Fe_4S
R00153,fes_4Fe_4S
R00248,fes_4Fe_4S
R00256,fes_4Fe_4S
R00296,fes_4Fe_4S
R00481,fes_4Fe_4S
R00790,fes_4Fe_4S
R00858,fes_4Fe_4S
R01078,fes_4Fe_4S
R01195,fes_4Fe_4S
R01196,fes_4Fe_4S
R01197,fes_4Fe_4S
R01199,fes_4Fe_4S
R01324,fes_4Fe_4S
R01325,fes_4Fe_4S
R01588,fes_4Fe_4S
R01900,fes_4Fe_4S
R02000,fes_4Fe_4S
R02511,fes_4Fe_4S
R02550,fes_4Fe_4S
R02802,fes_4Fe_4S
R03031,fes_4Fe_4S
R03444,fes_4Fe_4S
R03472,fes_4Fe_4S
R03543,fes_4Fe_4S
R03559,fes_4Fe_4S
R03562,fes_4Fe_4S
R03678,fes_4Fe_4S
R04292,fes_4Fe_4S
R04371,fes_4Fe_4S
R04425,fes_4Fe_4S
R04540,fes_4Fe_4S
R04782,fes_4Fe_4S
R05185,fes_4Fe_4S
R05186,fes_4Fe_4S
R05247,fes_4Fe_4S
R05261,fes_4Fe_4S
R05262,fes_4Fe_4S
R05263,fes_4Fe_4S
R05264,fes_4Fe_4S
R05266,fes_4Fe_4S
R05288,fes_4Fe_4S
R05316,fes_4Fe_4S
R05380,fes_4Fe_4S
R05442,fes_4Fe_4S
R05443,fes_4Fe_4S
R05496,fes_4Fe_4S
R05666,fes_4Fe_4S
R05745,fes_4Fe_4S
R05875,fes_4Fe_4S
R05884,fes_4Fe_4S
R06282,fes_4Fe_4S
R06782,fes_4Fe_4S
R06783,fes_4Fe_4S
R06895,fes_4Fe_4S
R07155,fes_4Fe_4S
R07157,fes_4Fe_4S
R07161,fes_4Fe_4S
R07219,fes_4Fe_4S
R08034,fes_4Fe_4S
R08209,fes_4Fe_4S
R08210,fes_4Fe_4S
R08547,fes_4Fe_4S
R08583,fes_4Fe_4S
R08689,fes_4Fe_4S
R09053,fes_4Fe_4S
R09060,fes_4Fe_4S
R09092,fes_4Fe_4S
R09151,fes_4Fe_4S
R09152,fes_4Fe_4S
R09227,fes_4Fe_4S
R09396,fes_4Fe_4S
R09481,fes_4Fe_4S
R09486,fes_4Fe_4S
R09494,fes_4Fe_4S
R09500,fes_4Fe_4S
R09501,fes_4Fe_4S
R09502,fes_4Fe_4S
R09513,fes_4Fe_4S
R09542,fes_4Fe_4S
R09720,fes_4Fe_4S
R10002,fes_4Fe_4S
R10010,fes_4Fe_4S
R10153,fes_4Fe_4S
R10159,fes_4Fe_4S
R10204,fes_4Fe_4S
R10246,fes_4Fe_4S
R10391,fes_4Fe_4S
R10392,fes_4Fe_4S
R10393,fes_4Fe_4S
R10394,fes_4Fe_4S
R10395,fes_4Fe_4S
R10396,fes_4Fe_4S
R10455,fes_4Fe_4S
R10516,fes_4Fe_4S
R10552,fes_4Fe_4S
R10645,fes_4Fe_4S
R10646,fes_4Fe_4S
R10647,fes_4Fe_4S
R10649,fes_4Fe_4S
R10650,fes_4Fe_4S
R10651,fes_4Fe_4S
R10652,fes_4Fe_4S
R10653,fes_4Fe_4S
R10654,fes_4Fe_4S
R10782,fes_4Fe_4S
R10859,fes_4Fe_4S
R10866,fes_4Fe_4S
R00069,fes_2Fe_2S
R00111,fes_2Fe_2S
R00276,fes_2Fe_2S
R00544,fes_2Fe_2S
R00557,fes_2Fe_2S
R00558,fes_2Fe_2S
R00635,fes_2Fe_2S
R00638,fes_2Fe_2S
R01078,fes_2Fe_2S
R01115,fes_2Fe_2S
R01195,fes_2Fe_2S
R01709,fes_2Fe_2S
R01768,fes_2Fe_2S
R01769,fes_2Fe_2S
R01803,fes_2Fe_2S
R01869,fes_2Fe_2S
R02000,fes_2Fe_2S
R02103,fes_2Fe_2S
R02107,fes_2Fe_2S
R02125,fes_2Fe_2S
R02163,fes_2Fe_2S
R02550,fes_2Fe_2S
R02657,fes_2Fe_2S
R02968,fes_2Fe_2S
R03543,fes_2Fe_2S
R03559,fes_2Fe_2S
R03562,fes_2Fe_2S
R03678,fes_2Fe_2S
