ec,cofactor
1.18.1.5,fes_2Fe_2S
1.18.1.5,flavoprotein
1.18.1.6,flavoprotein
1.18.1.7,fes_2Fe_2S
1.18.1.7,flavoprotein
1.18.6.1,fes_4Fe_4S
1.18.6.1,mg
1.18.6.1,fe
1.18.6.1,mo
1.19.6.1,fes_4Fe_4S
1.19.6.1,mg
1.19.6.1,fe
1.19.6.1,mo
1.20.2.1,fe
1.20.2.1,fes
1.20.9.1,fes_2Fe_2S
1.20.9.1,fes_3Fe_4S
1.20.9.1,mo
1.20.9.1,pterin
1.21.3.2,fe
1.21.3.3,flavoprotein
1.21.3.6,cu
1.21.3.8,flavoprotein
1.21.3.9,heme
1.21.3.9,fe
1.21.99.1,flavoprotein
1.97.1.4,fe
1.97.1.4,fes
1.97.1.8,fe
1.97.1.8,fes
1.97.1.9,heme
1.97.1.9,fe
1.97.1.9,mo
1.97.1.12,fes_4Fe_4S
2.1.1.12,mn
2.1.1.12,zn
2.1.1.13,zn
2.1.1.14,zn
2.1.1.46,mg
2.1.1.90,co
2.1.1.101,co
2.1.1.101,mg
2.1.1.101,mn
2.1.1.102,mg
2.1.1.106,fes_4Fe_4S
2.1.1.106,v12
2.1.1.107,heme
2.1.1.107,fe
2.1.1.141,mg
2.1.1.141,zn
2.1.1.148,flavoprotein
2.1.1.195,co
2.1.1.196,co
2.1.1.238,mg
2.1.1.246,co
2.1.1.247,co
2.1.1.247,zn
2.1.1.248,co
2.1.1.249,co
2.1.1.250,co
2.1.1.251,co
2.1.1.252,co
2.1.1.253,co
2.1.1.278,mg
2.1.1.289,co
2.1.2.1,plp
2.1.2.5,plp
2.1.3.1,biotin
2.1.3.1,co
2.1.3.1,zn
2.2.1.1,tpp
2.2.1.3,tpp
2.2.1.4,tpp
2.2.1.5,tpp
2.2.1.6,tpp
2.2.1.7,tpp
2.2.1.9,mg
2.3.1.37,plp
2.3.1.47,plp
2.3.1.50,plp
2.3.1.169,ni
2.3.1.169,cu
2.3.1.169,fe
2.3.1.169,fes
2.3.1.190,tpp
2.3.3.15,mg
2.4.1.14,mg
2.4.1.14,mn
2.4.1.41,mn
2.4.1.79,mn
2.4.1.133,mn
2.4.1.134,mn
2.4.1.135,mn
2.4.1.163,mn
2.4.1.164,mn
2.4.1.165,mn
2.4.1.174,mn
2.4.1.208,mg
2.4.1.212,mg
2.4.1.214,mn
2.4.1.217,mg
2.4.1.232,mn
2.4.1.241,mg
2.4.1.245,mg
2.4.1.246,mg
2.4.1.246,mn
2.4.1.262,mg
2.4.1.262,mn
2.4.1.266,co
2.4.1.266,mg
2.4.1.266,mn
2.4.1.285,co
2.4.1.285,mg
2.4.1.285,mn
2.4.1.289,mg
2.4.1.289,mn
2.4.1.303,mn
2.4.1.304,mg
2.4.1.304,mn
2.4.2.45,mg
2.4.2.49,ni
2.4.2.49,co
2.4.2.49,mg
2.4.2.54,mg
2.4.2.54,mn
2.5.1.9,flavoprotein
2.5.1.17,co
2.5.1.17,mg
2.5.1.17,mn
2.5.1.21,mg
2.5.1.21,mn
2.5.1.32,mn
2.5.1.41,mg
2.5.1.42,mg
2.5.1.42,mn
2.5.1.47,plp
2.5.1.48,plp
2.5.1.58,mg
2.5.1.58,zn
2.5.1.59,zn
2.5.1.62,mg
2.5.1.65,plp
2.5.1.66,tpp
2.5.1.67,mg
2.5.1.67,mn
2.5.1.68,mg
2.5.1.68,mn
2.5.1.70,mg
2.5.1.71,mg
2.5.1.72,fes_4Fe_4S
2.5.1.72,fe
