,rn,rule
665,R04540,187_5069
666,R04541,154_304
667,R04558,2002_2007
668,R04560,2492_7571
669,R04560,2492_7543
670,R04591,2003_206_325
671,R04591,2007_206
672,R04591,101_2007_206
673,R04591,206
674,R04640,2002
675,R04666,2011_304
676,R04666,246
677,R04666,304
678,R04985,1_327_3688_7564
679,R05000,141
680,R05148,1_221_243_331_4294_66_7514
681,R05180,1137_2007_7550
682,R05180,1137_2007_4262_7550
683,R05180,1137_7550
684,R05185,2004_2007
685,R05227,109_2004_2007_3997
686,R05227,109_2004_2007
687,R05247,2003_243_244_331_4294_66
688,R05247,2003_243_244_331_66
689,R05261,2003_243_244_331_4294_66
690,R05262,2003_243_244_331_4294_66
691,R05263,2003_243_244_331_4294_66
692,R05264,2003_243_244_331_4294_66
693,R05266,1_221_7514
694,R05288,1_221_7514
695,R05290,1_221_243_331_4294_66_7514
696,R05414,1_221_331_4294_66_7514
697,R05415,2012_557
698,R05428,1_221_243_331_4294_66_7514
699,R05442,1_221_7514
700,R05443,1_221_7514
701,R05531,7512
702,R05575,2003
703,R05587,7581
704,R05588,7527
705,R05605,2002
706,R05621,1_221_243_331_4294_66_7514
707,R05665,1_221_243_331_4294_66_7514
708,R05705,1
709,R05705,1_7514
710,R05705,1_101
711,R05705,304
712,R05705,2007
713,R05712,139
714,R05774,7574
715,R05916,2002_3501_5_7512
716,R05916,2002_2007_3501_7512
717,R05916,10_3501_397_7512
718,R05916,2002_207_3501_7512
719,R05916,10_2007_3501_7512
720,R05916,10_207_3501_7512
721,R05916,2002_3501_397_7512
722,R05916,10_3501_5_7512
723,R05919,2004
724,R05919,3966
725,R05970,7512
726,R05976,2485_3110_5029_5051_7579
727,R05976,2485_3110_4232_5029_5051
728,R05976,2485_3110_3352_5029_5051_7579
729,R05976,2485_3110_4177_4232_5029
730,R05976,2485_3110_3352_4232_5029_5051
731,R05976,2485_3110_3352_4177_5029_7579
732,R05976,2485_3110_3352_4177_4232_5029
733,R05976,2485_3110_4177_5029_7579
734,R06448,2003_2007_222_236_304_6094_7581
735,R06450,7512
736,R06453,2003_2007_222_236_304_6094_6113_7579_7581
737,R06458,2003_2007_222_236_304_6051_6094_7581
738,R06459,2003_2007_222_236_304_6051_6094_7579_7581
739,R06460,7512
740,R06461,7512
741,R06481,2003_2007_222_304_6051_6094_6113_7581
742,R06483,2003_2007_222_304_6051_6094_6113_7581
743,R06601,2002
744,R06601,11_4110
745,R06601,4110
746,R06601,11
747,R06604,230_4110
748,R06604,11
749,R06604,11_4110
750,R06604,4110
751,R06604,230
752,R06643,7581
753,R06695,2003_236
754,R06746,327_4011_7584
755,R06747,4033_4052_633
756,R06783,2003_243_244_331_4294_66
757,R06941,129_2003_2486
758,R06941,129_2003
759,R06942,2486
760,R06942,129_2003_2486
761,R07136,2003_279
762,R07136,276
763,R07157,205_4017_4044_7586
764,R07157,2003_4044_7586
765,R07168,2002
766,R07459,2003_2007
767,R07459,2003
768,R07461,2003_2007
769,R07461,2003
770,R07461,2007
771,R07461,2005_304_4143
772,R07514,179_217_231_244_325
773,R07601,7522_7574
774,R07602,7522_7574
775,R07671,2007_311_3950
776,R07709,1_221_243_331_4294_66_7514
777,R07710,1_221_243_331_4294_66_7514
778,R07946,179_217_231_244_325
779,R08107,109_7515
780,R08553,205_604
781,R08553,205_278_604
782,R08570,2002
783,R08572,2007_7500
784,R08572,1137_7536
785,R08648,2003_304_7574
786,R08956,2007_880
787,R09096,2002_3858_4017_4223_4971_7595
788,R09098,2002_2007_4995
789,R09124,2002_2007_4995
790,R09124,2002_2007_2485_4995
791,R09227,2003_205_243_244_331_4294_66
792,R09258,7581
793,R09259,7581
794,R09279,327_4011_7584
795,R09279,327_4011
796,R09280,2003_298
797,R09280,7524
798,R09281,2003_236
799,R09281,129_2003
800,R09286,2003_236_2486_327_4011_7584
801,R09286,327_4011_7584
802,R09289,2003
803,R09289,2007_4002
804,R09289,304
805,R09289,129_2003
806,R09308,2003_243
807,R09308,2003
808,R09308,129_2003
809,R09308,129_2003_243
810,R09399,101_4093
811,R09400,101_4093
812,R09473,179_231
813,R09473,179_231_325
814,R09492,5038
815,R09492,3156_5040
816,R09492,5039
817,R09497,1_1001_2003_205_5069
818,R09512,1_221_331_4294_66_7514
819,R09514,2003_244
820,R09514,2003
821,R09518,11_3207_603
822,R09518,11_192_3207_603
823,R09567,149_2485
824,R09720,2487_7542
825,R09737,2003
826,R09838,1_150_221_3115_327_7514
827,R09839,2486_7581
828,R09998,2002_2007_4995
829,R09998,2002_2007_2485_4995
830,R09999,2002_2007_4995
831,R09999,2002_2007_2485_4995
832,R10042,1_150_221_304_7514
833,R10043,1_150_221_304_7514
834,R10089,2002_2007
835,R10151,107_11_221_246_805
836,R10219,2002_3858_4017_4223_4971_7595
837,R10243,2002_3858_4017_4044_4223_4971_7586_7595
838,R10324,179_217_231_244_325
839,R10324,179_217_221_231_244_325
840,R10391,2487_7542
841,R10392,2487_7542
842,R10393,2487_7542
843,R10394,2487_7542
844,R10395,2487_7542
845,R10396,2487_7542
846,R10612,2002
847,R10616,2002
848,R10660,187_221_278_604
849,R10660,187_278_604
850,R10660,187_221_604
851,R10660,187_604
852,R10707,7581
853,R10712,281
854,R10712,2002
855,R10712,2002_2003
856,R10875,149_205
857,R10880,323_327_4011_4076_7584
858,R10961,169_205_806
859,R11026,187_2002_2003_205
860,R11026,187_2002_2003
861,R11119,2003_244
862,R11119,2003
863,R11121,149_2003_2485
864,R11131,71
865,R11516,7581
866,R11628,2004_2007
867,R11928,187_2003_2007
868,R11931,187_2003_2007
869,R11943,101_187_2003_2007_244
870,R11943,187_2003_2007_244_633
871,R11944,1_1001_187_2003_2007_633
872,R11944,1_1001_101_187_2003_2007_3740
873,R11944,1_1001_101_187_2003_2007
874,R11944,1_1001_187_2003_2007_3740_633
875,R11945,2007_244_3281_3456_3579_3843_4025_4272
876,R11945,3281_3456_3579_3843
877,R11945,1001_2003_2007_205_221_244_2485_3281_3456_3579_3697_3843_4025_4272_4335_5100_633
878,R11945,2007_205_244_3281_3456_3579_3843_4025_4272
879,R12049,327_4011_7581_7584
880,R12049,132_327_4011_7581_7584
881,R12067,2003
882,R12067,150
883,R12084,2004_2007
884,R12084,2002_2004_2007
885,R12161,2002
886,R12162,2002
887,R12657,2003
888,R12660,2003_2007_222_236_304_6094_7581
889,R12702,109
890,R12754,1_1001_2003
891,R02100,7504
892,R02100,70
893,R02018,150_2500
894,R02018,103_1074_150_2500
895,R02093,2004
896,R02093,304
897,R02331,2004
898,R02331,304
899,R02101,266_7501
900,R02101,266
901,R09936,1_2002
902,R01061,2003_298
903,R01061,298
904,R04779,2007_7572
905,R02740,2002_2007
906,R02740,10
907,R02740,2007
908,R02189,2484
909,R00200,2002_7518
910,R00200,1_2002_7518
911,R09084,2003
912,R01070,2002
913,R01070,304
914,R01786,2484
915,R01063,2003_298
916,R01063,298
917,R07159,169_806
918,R01512,7532_7533
919,R01015,2002
920,R09085,2003
921,R01518,7525
922,R01518,7515
923,R01518,7515_7554
924,R00431,2004
925,R00341,2004
926,R04780,4018_7587
927,R04780,246
928,R04780,304
929,R00726,2004
930,R01827,2002_2007
931,R01827,2002
932,R01827,2007
933,R02739,2002_2007
934,R02739,10
935,R02739,2007
936,R01830,7574
937,R01830,7522_7574
938,R02035,2003
939,R02035,2003_298
940,R02035,5
941,R02736,2003_298
942,R01641,7574
943,R01641,7522_7574
944,R10221,129_2003
945,R01529,2002
946,R01056,7560
947,R01056,2003_304
948,R01528,129_2003
949,R10907,2003_298
950,R10907,2003
951,R01049,7573
952,R00479,2002
953,R00472,2002
954,R01608,129_2003
955,R03158,2486
956,R00706,7524
957,R00705,7524
958,R12356,4052_633
959,R12356,4033_4052_633
960,R04432,4033_4052_633
961,R00286,129_2003
962,R01896,2003_236
963,R01639,2484
964,R01383,7512
965,R01481,2002
966,R01481,2003_236
967,R01381,7516
968,R01381,208_7516
969,R02640,129_2003
970,R01478,10_2002
971,R01478,2002
972,R01478,10_11_2002
973,R01476,212
974,R01476,212_304
975,R01904,2003
976,R01251,129_2003
977,R00239,7531
978,R00239,1_7531
979,R00239,7524_7531
980,R03313,7524
981,R03313,7524_7531
982,R00480,2003_298_304_7531
983,R00480,1_2002_304_7531
984,R00480,2003_298_7531
985,R00480,304_7531
986,R04365,208_3610
987,R04365,208_3001
988,R00451,1_2002
989,R00451,1_2002_304_7531
990,R04198,2003_298
991,R04475,3016_7577
992,R02735,286
993,R02291,2003_298
994,R04199,2003_298
995,R10147,2002
996,R02734,2011_304
997,R03260,3016_7577
998,R01777,2007
999,R01777,7579
1000,R04405,2002
1001,R01775,2003_298_304_7531
1002,R01775,2003_298
1003,R01775,2003_298_304
1004,R01775,2003_298_7531
1005,R00946,2002
1006,R00946,2002_2007_258_4995
1007,R01286,3016_7577
1008,R01773,2003_298_304_7531
1009,R01773,2003_298
1010,R01773,2003_298_304
1011,R01773,2003_298_7531
1012,R01466,2003
1013,R01771,212
1014,R01771,2006
1015,R01771,206
1016,R01513,2003
1017,R04173,3016
1018,R00582,2006
1019,R00582,7525
1020,R00897,3016_7577
1021,R00897,2003
1022,R00586,7579
1023,R00586,1114_208
1024,R00586,208
1025,R00586,2007
1026,R03460,129_2003_328
1027,R03460,328
1028,R03460,2002_2003_2004_2007_328_4002
1029,R03083,2007_4002
1030,R03083,2002_2003_2004_2007_328_4002
1031,R03083,2004_2007_4002
1032,R02413,2002_2003_2007
1033,R02413,2003_2007
1034,R02413,2002_2003_2004_2007_328_4002
1035,R02412,2004
1036,R02412,2002_2003_2004_2007_328_4002
1037,R02412,2004_2007_4002
1038,R03084,2002_2003_2007
1039,R03084,2002
1040,R03084,2007
1041,R03084,2002_2003_2004_2007_328_4002
1042,R01826,2002_304
1043,R01826,2002
1044,R01826,164_2002
1045,R01714,875
1046,R01715,164_2003
1047,R01715,301
1048,R01715,129_164
1049,R01715,164_304_7523
1050,R01715,304
1051,R01715,164
1052,R01715,164_2002
1053,R00694,3016_7577
1054,R01373,304_7523
1055,R01373,7523
1056,R01373,164_304_7523
1057,R00734,3016_7577
1058,R01730,2003
1059,R01728,129_164
1060,R01728,164_2003
1061,R01728,164
1062,R01728,129_2003
1063,R00714,7524
1064,R00713,7524
1065,R10178,3016_7577
1066,R01648,3016_7577
1067,R00261,3016_7577
1068,R00669,2011_304
1069,R00259,213
1070,R00259,213_7531
1071,R00259,213_4953_602
1072,R00259,231_3117
1073,R03443,2003_298
1074,R03443,2003_213_298_7531
1075,R02283,3016_7577
1076,R02649,7531
1077,R02649,213_7531
1078,R02649,2003_213_298_7531
1079,R02282,231_3117
1080,R01398,2003
1081,R01954,2005_253
1082,R00149,101_2003_2007_206_2487_7543
1083,R00551,2006
1084,R01086,4952_4953_602
1085,R01086,4953_602
1086,R01086,213_4953_602
1087,R04390,2003_327_4011_7584
1088,R04863,2003_327_4011_7584
1089,R00715,2003_298
1090,R00715,2003
1091,R03098,2003_327_4011_7584
1092,R02315,2003_298_3699
1093,R02315,2003_298
1094,R09777,2003_298
1095,R09779,2011_304
1096,R09779,2011
1097,R09775,2003_206
1098,R09778,3016_7577
1099,R09776,7531
1100,R06977,3016_7577
1101,R06978,213
1102,R06979,10
1103,R07392,2006_281
1104,R07392,281
1105,R04143,206
1106,R07395,2006
1107,R07395,2006_281
1108,R00178,331
1109,R07364,10
1110,R01920,2003
1111,R01920,2003_3699
1112,R07394,2006
1113,R12507,3016_7577
1114,R07393,2002_304
1115,R00177,327
1116,R04420,2003_3651
1117,R07396,3016_7577
1118,R01401,2011
1119,R01402,2011
1120,R01290,2003
1121,R01290,2003_282
1122,R00192,2003
1123,R04858,2003
1124,R04858,4
1125,R04858,2003_376_4
1126,R02911,213
1127,R01814,257_304
1128,R03130,101_2003
1129,R02701,3016_7577
1130,R01959,7579
1131,R01959,2487
1132,R03889,7524
1133,R00678,4229
1134,R00678,4983
1135,R02665,10
1136,R02668,3016_7577
1137,R04323,2002
1138,R01960,244
1139,R01960,2003_244
1140,R02593,217_304
1141,R02593,2003_236
1142,R03918,217_304
1143,R03918,2003_236
1144,R02416,323
1145,R02253,149
1146,R01942,2003
1147,R06572,149
1148,R06582,149
1149,R01616,327_4011_7584
