179_217_221_231_244_325 1.1.1.204|1.1.7.1|1.17.1.4|1.17.1.5|1.17.3.2|1.2.3.1|1.2.5.3|1.3.99.17
223_3702_4019 2.4.1.129|3.4.16.4
101_210 3.1.3.16
1_1054_2002_604 4.1.1.19
4263 3.4.24.-
101_186 2.7.7.-|3.1.-.-
2002_7524 1.2.1.88|1.5.5.22
144_4091 3.-.-.-
2002_7521 4.3.1.7
2007_206 2.3.3.8|4.1.1.21|6.2.1.5|6.3.2.6
1143_1144_223_231_2484_302_375_7604 6.4.1.6|6.4.1.8
2007_205 1.12.98.1
2003_304_547 1.2.1.70
2007_205_3740_PDBChainNotFound 1.12.98.1
1075_2004 3.4.22.-|3.6.3.39|3.6.3.43|3.6.3.44|3.6.3.49|5.6.1.6|7.5.2.5|7.5.2.6|7.6.2.-|7.6.2.1|7.6.2.2|7.6.2.3
2003_2007 1.1.1.24|1.1.1.25|1.1.1.282|1.1.1.38|1.1.1.39|1.4.1.-|1.4.1.19|1.4.1.2|1.4.1.20|1.4.1.3|1.4.1.4|1.4.1.9|1.5.1.15|1.5.1.5|1.6.5.2|2.1.3.2|2.1.3.6|2.7.7.80|2.8.1.11|3.5.4.9|6.2.1.13|6.2.1.4|6.2.1.5|6.3.4.3
2003_2004 6.3.2.45|6.3.2.8
102_2002_316_3584 2.7.7.7
108_206 2.7.1.-|2.7.11.1|2.7.11.17
3993_7578 4.7.1.1
3838 2.7.7.n1|2.7.7.n6
130_237_377_4210_609 2.4.2.30
107_3156 1.7.2.1
4009_7583 2.1.1.-|3.1.3.-
109_148_2004_2485_6110 2.5.1.18
2498_5090 3.4.24.-
2484_297 6.1.2.2
2002_282 1.1.1.205
2002_284 3.2.-.-|3.2.1.14|3.2.1.52|3.2.1.96
102_3504_377 3.2.2.23|4.2.99.18
378 3.-.-.-|3.1.-.-|3.1.21.-|3.1.21.1|3.1.30.-|3.1.30.2|3.6.4.-
7520 3.1.2.-
7527 2.8.3.-|2.8.3.16|2.8.3.19|2.8.3.21|3.1.3.5|3.1.3.6|3.6.1.11|5.1.99.4
7524 1.1.1.23|1.2.1.-|1.2.1.10|1.2.1.16|1.2.1.19|1.2.1.21|1.2.1.22|1.2.1.24|1.2.1.26|1.2.1.27|1.2.1.28|1.2.1.3|1.2.1.31|1.2.1.36|1.2.1.39|1.2.1.4|1.2.1.41|1.2.1.47|1.2.1.5|1.2.1.54|1.2.1.60|1.2.1.65|1.2.1.7|1.2.1.71|1.2.1.79|1.2.1.8|1.2.1.88|1.2.1.89|1.2.1.9|1.2.1.90|1.2.1.94|1.5.1.12|1.5.1.6|2.7.2.11
7525 2.7.1.105|3.1.3.-|3.1.3.10|3.1.3.13|3.1.3.16|3.1.3.2|3.1.3.26|3.1.3.3|3.1.3.37|3.1.3.46|3.1.3.48|3.1.3.5|3.1.3.70|3.1.3.73|3.1.3.8|3.1.3.85|5.4.2.1|5.4.2.11|5.4.2.2|5.4.2.4
371 3.1.1.4
7529 2.4.2.-|2.7.7.19|2.7.7.48|3.1.1.106|3.1.3.33|3.1.3.84|3.2.1.-|3.2.1.143|3.2.2.-|3.4.19.12|3.4.22.-|3.4.22.69|3.5.1.-|3.6.1.15|3.6.4.13
375 1.18.1.1|1.9.3.1|2.1.1.-|2.3.1.48|2.3.2.27|2.3.2.31|2.7.1.37|2.7.7.-|2.7.7.6|2.7.7.7|3.1.-.-|3.1.26.5|3.1.3.48|3.4.19.12|5.6.2.1|6.1.1.10
377 1.14.11.67|1.14.13.225|2.4.2.30|2.7.11.1|2.7.7.-|3.1.-.-|3.4.19.12|3.6.4.13|6.5.1.1
