10_11_2002 3.2.1.31,3.2.1.23,3.2.1.25,3.2.1.-,3.2.1.96,3.2.1.165
3748 3.4.19.12
187_4044_7586 1.2.7.4
2008_3517 3.1.-.-
101_102_1029_11_2004_4156_592 3.6.4.13
3740 1.17.7.2,1.12.98.1
244 6.3.1.20,7.1.1.2,2.-.-.-
247 3.1.1.81,3.-.-.-,3.1.4.17,3.1.2.32,1.-.-.-,3.1.26.11,3.1.4.54,1.13.11.18,3.1.4.38,3.1.-.-,3.5.2.6,3.1.1.27,3.1.2.6,3.1.27.-,3.1.8.1,3.1.1.-,3.1.4.55
246 3.1.3.60,3.1.3.3,3.5.1.49,3.1.4.53,3.5.5.4,3.6.1.41,3.1.4.12,3.-.-.-,3.1.4.16,3.1.3.5,3.1.3.53,3.5.5.1,3.1.11.2,3.1.3.16,3.1.3.-,3.6.1.16,3.1.4.3,3.6.1.13,3.5.1.77,3.1.4.-,3.5.1.53,3.1.3.6,3.1.3.36,3.1.3.2,3.1.-.-,2.7.7.49,3.5.1.128,3.5.1.-,3.1.13.4,3.1.3.56,3.6.1.53,3.1.3.86,3.1.26.12,3.1.21.1,4.2.99.18,3.1.3.48,4.2.1.65,3.5.1.3,3.5.1.6,3.5.1.4,3.6.1.54
241 2.3.2.-,3.4.22.69,3.6.4.13,1.16.3.1,7.1.1.-,3.1.21.-,3.4.19.12,2.7.7.48
7507_7546 3.5.1.38,3.5.1.1
243 1.1.2.3,3.3.2.11,3.3.2.10,2.3.2.26,3.4.24.-,1.6.2.2,5.5.1.23,4.5.1.-,1.14.12.10,1.14.12.11,1.14.12.12,2.7.11.17,1.14.12.18,4.2.1.94,4.2.99.-,1.8.3.1,1.14.12.-,1.14.12.3,5.3.3.1,3.3.2.8,3.4.24.25,5.5.1.-,3.6.4.13,3.5.1.1,5.-.-.-,4.2.1.106
242 3.1.21.1,3.1.-.-
304_3078_4967 2.7.7.48
10_158 1.13.11.-,1.13.11.58,1.13.11.12,1.13.11.40,4.2.1.92,1.13.11.31,1.13.11.33,1.13.11.34
101_2003_221 1.5.99.8
7046 2.7.7.48
1_1001_2003 1.97.1.2,1.2.1.2,1.7.2.3,1.20.98.1,1.7.5.1,1.-.-.-,1.20.9.1,1.9.6.1,4.2.1.112,1.17.1.9,1.8.5.3,1.17.99.7,1.17.99.2,1.17.5.3
178 2.3.2.27
177 3.1.30.1,3.1.4.3
304_4323 3.6.3.14
172 2.3.3.16,2.3.3.1,2.3.3.8,2.3.3.5
171 3.1.26.3,3.1.26.-
170 3.4.23.16,3.4.23.50,3.1.26.13,3.4.23.-,3.1.13.2,3.1.26.4,3.6.1.23,2.7.7.49,2.7.7.7
2485_601 1.8.3.2
11_5090_6074 3.4.21.90
11_5090_6072 2.1.1.57,2.1.1.56,3.6.1.15,3.6.4.13,3.4.21.91,2.7.7.48
3696 3.6.4.-
3110_3352 2.4.99.18,2.4.2.43
2006_212_225_3675_4012 5.6.2.2
7040 3.1.21.-
1_11 3.2.1.4,3.-.-.-
1_10 2.7.7.48,3.4.22.66,3.6.1.15
3526 3.4.21.-
7041_7042_7512 2.4.1.155
221_4309 3.4.19.12
4954_4955_4956_4957 2.7.7.6
3084 2.7.7.48,3.6.4.13,3.4.22.69,3.4.19.12
2484_304_4_7590 3.1.26.n2,3.1.25.-,3.1.26.-
214_4 2.7.10.2
207_3857_79 3.2.1.-
133_304 2.1.2.5,4.3.1.4
2012_557 1.13.11.-,1.13.11.58
220_235 3.2.1.17
101_2004_213 2.3.1.-,2.3.1.193
2004_304_3430 3.6.4.-
10_376 2.3.2.-
10_377 1.14.11.-,1.14.11.67
275 2.7.7.6
2485_3697 7.1.1.2,1.2.1.2,1.6.99.3,7.1.1.-
271_386 3.6.1.3,3.6.1.-
1207_2002 1.5.1.20
220_304 2.7.4.6
3239 3.1.-.-
10_206 2.7.11.12
2003_3988 2.1.1.72
11_207 3.2.1.22,4.2.2.2,3.2.1.37,3.2.1.n1,3.2.1.-,3.2.1.57,3.2.1.11,2.7.10.1
11_206 2.7.11.1
11_205 1.97.1.2
2005_253 6.3.4.5
284_306_589 5.2.1.8
3357 3.1.13.-
3356 7.2.2.10
2499_304 3.4.21.-,3.4.14.9,3.4.21.62
235_387 3.2.1.14
1_140_2005_221_375 6.1.1.4
10_221_376 2.3.2.-,6.3.2.-
3358 2.3.2.-
101_2484_4 3.4.23.16,3.1.26.13,3.1.13.2,3.1.26.4,3.6.1.23,2.7.7.49,2.7.7.7
12_2002_632 3.2.1.24,2.4.1.25,3.2.1.114
221_331 4.2.3.1
109_2008_325_3794_633 6.4.1.2,6.3.4.14
2_304 6.3.4.22
2007_4002 4.2.3.4,4.2.3.124,2.5.1.19,1.1.1.77,4.2.3.154,2.7.1.71,4.2.1.10,1.1.1.-,1.3.1.32,1.1.1.202,1.1.1.25,1.1.1.6,1.2.1.10,1.1.1.1,1.1.1.261,4.2.3.152,1.1.3.48
2_872 2.7.7.6
1192_2_2003 2.1.1.190
358_389 3.4.21.-
101_7565 3.1.22.-,6.5.1.-
2006_213 3.1.3.21
11_4091 2.3.2.-
3163_364 2.3.1.48
601_7066_7067_7068 3.1.-.-
1119 6.2.1.14
1_3358_70 2.1.1.43,2.1.1.-
109_219 3.4.19.12
144_2498_5 3.4.24.7
3761_79 4.2.2.1
3016_389_7577 4.4.1.4
543 2.7.10.1
541 2.7.11.11,2.7.1.37
109_2008_633 6.4.1.2,6.3.4.14
547 1.2.1.70
131_221_304_316 2.7.6.5
206_220_398 2.7.10.2
