,atlas_rn,rn
11178,AR11179,R07975
11179,AR11180,R07973
11195,AR11196,R07961
11196,AR11197,R07963
11197,AR11198,R07971
11198,AR11199,R07954
11199,AR11200,R07955
11315,AR11316,R07959
11316,AR11317,R07957
11452,AR11453,R07965
11456,AR11457,R07967
11457,AR11458,R07969
11752,AR11753,R00559
11755,AR11756,R00449
11757,AR11758,R00679
11758,AR11759,R00690
12169,AR12170,R05320
12518,AR12519,R09131
12522,AR12523,R05622
12524,AR12525,R09555
12527,AR12528,R05291
12530,AR12531,R03440
12539,AR12540,R05262
12540,AR12541,R05264
12558,AR12559,R09130
12559,AR12560,R09201
12562,AR12563,R07188
12563,AR12564,R06783
12565,AR12566,R02968
12566,AR12567,R03543
12567,AR12568,R05290
12568,AR12569,R03559
12569,AR12570,R03630
12570,AR12571,R03439
12571,AR12572,R08101
12572,AR12573,R08109
