rn,delta_G,delta_G_error
AR821,-2.3,0.0966336
AR822,-2.3,0.0886985
AR823,-2.3,0.08981950000000001
AR824,-3.76,0.0940757
AR825,2.0,0.203073
AR828,-2.21,0.07182949999999999
AR829,-2.21,0.07182949999999999
AR830,-2.21,0.0774115
AR831,9.44,0.160452
AR832,-5.22,0.111508
AR833,-2.3,0.102908
AR834,-2.3,0.102908
AR835,-2.3,0.08217460000000001
AR836,-2.3,0.10513299999999999
AR837,-2.3,0.0985852
AR839,-2.3,0.08188680000000001
AR843,-2.3,0.0841558
AR844,-2.3,0.087613
AR845,-2.3,0.0865209
AR847,-2.3,0.089693
AR848,-2.3,0.09024349999999999
AR849,-2.3,0.09022999999999999
AR850,-2.3,0.09858589999999999
AR851,-2.3,0.09630880000000001
AR852,-2.3,0.0749414
AR853,-5.22,0.0889468
AR854,-2.3,0.0841886
AR855,-2.3,0.0841886
AR856,-2.3,0.0818779
AR857,-2.3,0.09022369999999999
AR859,-0.75,0.09012780000000001
AR860,-2.3,0.07786810000000001
AR861,-3.76,0.0941212
AR863,-2.3,0.102904
AR864,-2.3,0.0806619
AR865,-2.3,0.0985829
AR866,-6.22,0.09815510000000001
AR867,-0.75,0.0901258
AR868,-2.3,0.09407130000000001
AR869,-2.3,0.102833
AR870,-2.3,0.0866552
AR871,-2.3,0.0962568
AR872,-2.3,0.09842689999999998
AR873,-2.3,0.11598599999999999
AR874,-0.75,0.0973003
AR875,-2.3,0.0896762
AR876,-2.21,0.0979066
AR877,-0.75,0.106102
AR878,-3.76,0.07947810000000001
AR880,-3.76,0.0154737
AR881,-3.76,0.07935539999999999
AR882,-3.76,0.07922489999999999
AR883,-3.76,0.0791104
AR884,-3.76,0.08106319999999999
AR885,-3.76,0.08066010000000001
AR886,-5.22,0.125472
AR887,-0.75,0.135524
AR888,-2.21,0.0705708
AR889,-2.3,0.0855894
AR890,-2.3,0.0872655
AR891,-2.3,0.08894010000000001
AR895,-5.22,0.095026
AR896,-3.76,0.14763900000000002
AR897,-3.76,0.14763900000000002
AR898,-0.75,0.052261
AR899,-3.76,0.116627
AR900,-6.22,0.0981653
AR901,-5.22,0.142567
AR902,-2.3,0.0914491
AR903,-3.76,0.0957392
AR905,-4.76,0.160897
AR906,-2.21,0.112751
AR907,-3.67,0.07288919999999999
AR908,-5.22,0.0954115
AR909,-2.3,0.280384
AR910,-5.22,0.11221199999999999
AR912,-3.67,0.09740789999999999
AR913,-3.67,0.09740789999999999
AR914,-2.21,0.08648099999999999
AR915,-3.76,0.09281879999999999
AR916,-3.76,0.0937918
AR917,-2.3,0.221512
AR918,-0.75,0.104673
AR921,-3.76,0.0896664
AR924,-0.66,0.043775
AR925,-5.22,0.171799
AR926,-5.22,0.088783
AR927,-5.22,0.0887795
AR928,6.08,0.100279
AR932,-2.3,0.163107
AR933,-5.22,0.0986656
AR936,-2.21,0.0714961
AR939,-2.21,0.08266389999999998
AR940,-0.75,0.0652271
AR941,-5.22,0.10890899999999999
AR942,-5.22,0.10890899999999999
AR943,-5.22,0.0903677
AR944,-5.22,0.0903677
AR946,-5.22,0.16650299999999998
AR947,-5.22,0.173487
AR948,-5.22,0.11661400000000001
AR950,-0.75,0.105128
AR952,-3.67,0.066039
AR954,-0.75,0.0909563
AR957,-2.3,0.0882913
AR958,-3.67,0.00283597
AR959,-3.67,0.00283597
AR961,-2.3,0.0990656
AR962,-3.67,0.0742573
AR963,-2.3,0.0734966
AR964,9.44,0.104502
AR965,-5.22,0.11933599999999998
AR966,-2.3,0.119691
AR970,-3.67,0.0670115
AR971,-3.67,0.0841993
AR972,-3.67,0.0265564
AR973,-2.21,0.029956599999999996
AR974,-3.76,0.122083
AR975,-5.22,0.0903126
AR976,-0.75,0.0922182
AR977,-0.75,0.0930625
AR979,-2.3,0.164376
AR980,10.99,0.054606299999999997
AR981,10.99,0.0459034
AR982,-2.3,0.103316
AR983,-2.21,0.06875310000000001
AR984,-5.22,0.0903091
AR985,-0.75,0.15906900000000002
AR987,-0.75,0.0617495
AR988,-5.22,0.112505
AR989,-2.21,0.037799400000000004
AR990,-2.3,0.18432
AR991,-3.76,0.253368
AR992,-6.22,0.22834699999999997
AR993,-5.22,0.0947047
AR994,-5.22,0.181584
AR995,-3.76,0.247192
AR996,-5.22,0.179775
AR997,-3.76,0.258544
AR998,-2.3,0.16986800000000002
AR999,-2.21,0.0860744
AR1001,-5.22,0.171655
AR1002,-3.67,0.0348913
AR1003,-4.67,0.0083124
AR1004,-2.3,0.087345
AR1005,-5.22,0.161659
AR1006,-3.76,0.25972
